time_years,cumulative_log_growth,mean_megno,relative_energy_error
4.5616470092e+07,1.9246882364e+01,2.1378410312e+00,6.021377e-07
4.5801191694e+07,1.9230012335e+01,2.1405690503e+00,7.026813e-07
4.5985912897e+07,1.8192314385e+01,2.1432028861e+00,8.277955e-07
4.6210634100e+07,1.9250758562e+01,2.1465346821e+00,8.945825e-07
4.6395355703e+07,1.8391958131e+01,2.1492578804e+00,6.637990e-07
4.6580076906e+07,1.9537440454e+01,2.1521616237e+00,7.381662e-07
4.6804798509e+07,1.8650066939e+01,2.1555983318e+00,8.703900e-07
4.6989519712e+07,1.8874555486e+01,2.1585070826e+00,6.323325e-07
4.7214240915e+07,1.9223090010e+01,2.1619609115e+00,6.352208e-07
4.7398962518e+07,1.9536204885e+01,2.1649438582e+00,5.820470e-07
4.7583683721e+07,1.7986092900e+01,2.1678261352e+00,6.872946e-07
4.7808405324e+07,1.9284073076e+01,2.1711684117e+00,6.608297e-07
4.7993126527e+07,1.9404333244e+01,2.1737712244e+00,9.248363e-07
4.8217847730e+07,1.8169170833e+01,2.1768794749e+00,8.381975e-07
4.8402569333e+07,1.9009638886e+01,2.1793457978e+00,1.884168e-07
4.8587290536e+07,1.9248742923e+01,2.1817135200e+00,8.415152e-07
4.8812011739e+07,1.8924784708e+01,2.1847087739e+00,8.611960e-07
4.8996733342e+07,1.9306337729e+01,2.1869812590e+00,6.574959e-07
4.9181454545e+07,1.8195607003e+01,2.1892655866e+00,5.994790e-07
4.9406176148e+07,1.9665844923e+01,2.1921200434e+00,6.113802e-07
4.9590897351e+07,1.8269646970e+01,2.1944670030e+00,6.556208e-07
4.9815618554e+07,1.9016074720e+01,2.1972053586e+00,6.153496e-07
5.0000340157e+07,1.8500420298e+01,2.1994803798e+00,7.580059e-07
5.0185061360e+07,1.9301475096e+01,2.2017153734e+00,1.238001e-07
5.0409782963e+07,1.8556834472e+01,2.2045214257e+00,4.347247e-07
5.0594504166e+07,1.9328022783e+01,2.2066595165e+00,8.798124e-07
5.0819225369e+07,1.8331889048e+01,2.2092830245e+00,8.839627e-07
5.1003946972e+07,1.9635137766e+01,2.2114333315e+00,7.268509e-07
5.1188668175e+07,1.9350925108e+01,2.2136178615e+00,6.030755e-07
5.1413389778e+07,1.8947245033e+01,2.2159819458e+00,6.171568e-07
5.1598110981e+07,1.8673927618e+01,2.2178094425e+00,6.147446e-07
5.1782832183e+07,1.9350391290e+01,2.2196767004e+00,7.668594e-07
5.2007553787e+07,1.8935893092e+01,2.2216503065e+00,7.048966e-07
5.2192274989e+07,1.9371286316e+01,2.2231493269e+00,5.436616e-08
5.2416996593e+07,1.9397720332e+01,2.2250345836e+00,1.014047e-06
5.2601717796e+07,1.8736417855e+01,2.2263273483e+00,8.533011e-07
5.2786438998e+07,1.8847901030e+01,2.2275786864e+00,7.092981e-07
5.3011160602e+07,1.9264307298e+01,2.2289022269e+00,7.809977e-07
5.3195881804e+07,1.9155497313e+01,2.2299760853e+00,6.162703e-07
5.3380603007e+07,1.8965291875e+01,2.2307862124e+00,6.215089e-07
5.3605324611e+07,1.8708916724e+01,2.2317092783e+00,5.874559e-07
5.3790045813e+07,1.9337313802e+01,2.2323039966e+00,7.496431e-07
5.4014767417e+07,1.9487024521e+01,2.2330583770e+00,6.938815e-07
5.4199488619e+07,1.8520568149e+01,2.2334933274e+00,1.004640e-06
5.4384209822e+07,1.8787448168e+01,2.2338481949e+00,8.215706e-07
5.4608931426e+07,1.8989820383e+01,2.2341282166e+00,3.085516e-07
5.4793652628e+07,1.9297695133e+01,2.2343794301e+00,7.485830e-07
5.5018374232e+07,1.8436882753e+01,2.2345093956e+00,9.116704e-07
5.5203095434e+07,1.8693774574e+01,2.2344742627e+00,6.246256e-07
5.5387816637e+07,1.9238082960e+01,2.2343480378e+00,6.035910e-07
5.5612538240e+07,1.8475310236e+01,2.2341924611e+00,5.898490e-07
5.5797259443e+07,1.8412353069e+01,2.2338383837e+00,7.191654e-07
5.5981981046e+07,1.9530762603e+01,2.2334649053e+00,9.331345e-07
5.6206702249e+07,1.8480811743e+01,2.2329487806e+00,8.670103e-07
5.6391423452e+07,1.8590298260e+01,2.2323776589e+00,6.797697e-07
5.6616145055e+07,1.8956650704e+01,2.2315630559e+00,4.916121e-07
5.6800866258e+07,1.9190063764e+01,2.2309246746e+00,9.263210e-07
5.6985587861e+07,1.8479394231e+01,2.2301521354e+00,6.297756e-07
